full_name, stars, forks, description, language
rusher81572/picluster, 163, 7, "A Simplified Approach to Container Orchestration", JavaScript
catalinmiron/mobile-shopping-react-native, 163, 18, "MobileShopping - React Native and Exponent", JavaScript
team-emt/razorframe, 162, 9, "Node library for empowering real-time applications at scale", JavaScript
sindresorhus/clipboardy, 162, 6, "Access the system clipboard (copy/paste)", JavaScript
etiennepinchon/magixjs, 160, 17, "MagiXJS Framework", JavaScript
sanchitgn/remember, 160, 10, "The progressive offline Todo app", JavaScript
anvaka/git-also, 159, 7, "For a `file` in your git repository, prints other files that are most often committed together", JavaScript
gloriajs/gloria, 158, 19, "Gloria is a static website generator, based on NodeJS.", JavaScript
scriptify/Recordy, 156, 2, "Record your microphone (or any other input) and add effects to it! In your browser.", JavaScript
declandewet/vue-meta, 154, 6, "Manage page meta info in Vue 2.0 components. SSR + Streaming supported.", JavaScript
ysrc/GourdScanV2, 152, 110, "被动式漏洞扫描系统", JavaScript
douban/rexxar-web, 151, 21, "Mobile Hybrid Framework Rexxar Web Implementation ", JavaScript
awslabs/lambda-refarch-mapreduce, 151, 20, "This repo presents a reference architecture for running serverless MapReduce jobs. This has been implemented using AWS Lambda and Amazon S3.", JavaScript
jbogard/ContosoUniversityCore, 151, 36, "", JavaScript
yanbober/RNPolymerPo, 150, 45, "基于 React Native 的 Android 企业级应用 Demo。", JavaScript
tannerlinsley/react-table, 149, 9, "React Table - A fast, lightweight, flexible table and datagrid for React", JavaScript
ggomaeng/react-native-spotify-ui, 147, 13, "Pure javascript UI prototype of iOS Spotify for React Native framework.", JavaScript
desklamp-js/desklamp, 141, 8, "clean routing and state container for react", JavaScript
mdehoog/Semantic-UI-Calendar, 139, 16, "Calendar module for Semantic UI", JavaScript
zhufengketang/app, 138, 123, "珠峰课堂APP-国内首款开源React Native APP", JavaScript
mhaagens/react-mobx-react-router4-boilerplate, 138, 16, "React, React-Router 4, MobX and Webpack 2-boilerplate with async routes.", JavaScript
liumingmusic/react-native_toiletApp, 137, 34, "第一个完整的react-native项目。包括服务端和移动端两部分。服务端使用express+bootstrap进行搭建，主要功能有登录、退出、模块选择、查看、修改、删除、分页等后台管理的基本功能；移动端主要用到组件View、Text、Image、ScrollView、ListView等常用的组件，也使用了第三方的地图服务(高德地图)，作为初学者。是一个很好的学习案例。", JavaScript
diracdeltas/niceware, 137, 7, "Generate or convert random bytes into passphrases in Node and the browser.", JavaScript
hanan198501/vue-spa-template, 134, 67, "vue.js 单页应用项目模板", JavaScript
rwjblue/ember-lifeline, 134, 5, "", JavaScript
nolimits4web/Framework7-Vue, 133, 29, "Build full featured iOS & Android apps using Framework7 & Vue", JavaScript
huang303513/Weather_Vue, 132, 50, "Vue+VueRouter+webpack+Less+VueResource实现一个天气客户端", JavaScript
lourenc/tinytyper, 132, 5, "⌨️ A tiny library for creating a typing effect on specified text element.", JavaScript
ChangQing666/wechat-weapp-taobao, 132, 41, "微信小程序demo 仿手机淘宝", JavaScript
ivantsov/redux-subscriber, 131, 2, "Subscribe to changes in any part of redux state", JavaScript
modood/Administrative-divisions-of-China, 128, 47, "中国行政区划数据：省份、城市、区县、乡镇（街道）", JavaScript
developit/asyncro, 126, 5, "⛵️ Beautiful Array utilities for ESnext async/await ~", JavaScript
ipselon/react-boilerplate-clone, 126, 8, "A React Boilerplate Project Clone integrated with Structor (former React UI Builder).", JavaScript
SKAhack/open-sketch, 124, 3, "Change the design work. Version control for design file.", JavaScript
sgsoft-studio/webed, 124, 35, "WebEd CMS - a cms based on Laravel 5.3", JavaScript
ibmtjbot/tjbot, 124, 38, "", JavaScript
knitjs/knit, 124, 6, ":star2: Untangle your Javascript", JavaScript
alanwangmodify/weChatApp-Run, 123, 27, "跑步微信小程序", JavaScript
metafizzy/huebee, 122, 6, "🐝 1-click color picker", JavaScript
weslleyaraujo/react-simon-says, 122, 3, "A 'Simon Says' game built with React and Redux 👾", JavaScript
bgryszko/react-native-circular-slider, 122, 9, "React Native component for creating circular slider :radio_button:", JavaScript
phenax/plasmajs, 121, 2, "An isomorphic nodeJS framework based on react", JavaScript
codrops/MusicalInteractions, 121, 20, "Some experimental ideas for playful musical interactions powered by MIDI.js.", JavaScript
prayerslayer/js.spec, 121, 5, "clojure.spec for Javascript", JavaScript
sonnylazuardi/react-native-nike-running, 120, 18, "🏃 UI & UX Prototype of redesigned Nike+ Running App", JavaScript
elsehow/signal-protocol, 118, 6, "The Signal protocol, for node and browsers", JavaScript
davedavehong/fenda-mock, 118, 41, "使用微信小程序实现「分答」这款APP的基础功能", JavaScript
izelnakri/express-routemap, 117, 1, "Display all your express routes in the terminal!", JavaScript
michael-yin/scrapy_guru, 117, 11, "Everybody can be scrapy guru", JavaScript
ncase/wbwwb, 116, 13, "We Become What We Behold – a minigame about the news!", JavaScript
addyosmani/preact-hn, 114, 11, "🗞 Preact Hacker News", JavaScript
latel/logline, 113, 11, "incredible logs for the frontend", JavaScript
clari/react-tween, 113, 4, "Tween animation for React components http://codepen.io/mking-clari/pen/XNYbJX", JavaScript
infosec-au/little-doctor, 112, 27, "🔥🔥🔥 Out of the Browser into the Fire - Cross platform XSS worm framework 🔥🔥🔥", JavaScript
Seedstars/reactnative-mobile-app-base, 112, 8, "Seedstars Labs React Native Mobile App Base Project (Frontend)", JavaScript
liujians/vue-adminLte-vue-router, 112, 47, "SPA about vue-cli+adminLte+vue-router", JavaScript
erikras/styled-components-theme, 111, 5, "Defines themes via flexible color selectors for use with styled-components", JavaScript
mstijak/tdo, 111, 15, "Keyboard driven, hackable TODO list", JavaScript
OYsun/vscode-VueHelper, 111, 4, "vscode插件，vue，vue-router和vuex的代码提示", JavaScript
sonnylazuardi/awponent, 111, 8, "😎 curated list of awesome react native ui components", JavaScript
googlecreativelab/aiexperiments-bird-sounds, 110, 17, "Thousands of bird sounds visualized using machine learning.", JavaScript
guerrerocarlos/WikipediaP2P, 109, 4, "WikipediaP2P.org Chrome Extension http://www.wikipediap2p.org/", JavaScript
liujians/Wa-UI, 109, 22, "针对微信小程序整合的一套UI库", JavaScript
serverless/examples, 109, 35, "Serverless Examples – A collection of boilerplates and examples of serverless architectures built with the Serverless Framework and AWS Lambda", JavaScript
andreapaiola/F-D-, 107, 4, "F$D€ - Client not paid? Add opacity to the body tag and increase it every day until their site completely fades away", JavaScript
Swizec/react-fractals, 107, 25, "An experiment -> Fractals in React.", JavaScript
FGRibreau/jq.node, 106, 3, "jq.node - like jq but WAY MORE powerful (300+ helpers 🔥 & 300K+ modules 😱) ", JavaScript
cult-of-coders/redis-oplog, 105, 7, "Redis Oplog implementation to fully replace MongoDB Oplog in Meteor", JavaScript
ratiw/vuetable-2, 105, 18, "data table simplify! -- this version works with Vue 2.0", JavaScript
giuseppeg/ffocus, 105, 7, "🔍 A CLI tool to temporarly disable distracting websites and boost your productivity", JavaScript
jeffbski/pkglink, 105, 3, "Space saving Node.js package hard linker. pkglink locates common JavaScript/Node.js packages from your node_modules directories and hard links the package files so they share disk space.", JavaScript
almonk/shrink2, 104, 5, "A professional for your Github issues", JavaScript
gajus/babel-plugin-log-deprecated, 104, 3, "Adds a console.warn statement to the functions annotated with @deprecated tag.", JavaScript
andreleon/critical-style-snapshot, 103, 1, "Capture CSS above the fold with one click.", JavaScript
ruanyf/loppo, 103, 17, "an extremely simple markdown document site generator", JavaScript
OlegIlyenko/graphiql-workspace, 101, 4, "A graphical interactive in-browser GraphQL IDE enhanced with tabbed navigation, HTTP headers, arbitrary endpoints, etc.", JavaScript
ElemeFE/bowl, 101, 6, "🍚 static resources front-end storage solving strategy", JavaScript
jxnblk/ejsx, 101, 2, "Pure JSX templates for rendering static HTML", JavaScript
ymgd/weixinopen, 101, 106, "", JavaScript
noam3127/github-code-folding, 101, 6, "Chrome extension that enables code folding in GitHub", JavaScript
grvcoelho/react-voice-components, 101, 9, "Set of React components that use the Web Speech API to bring voice experience to React applications", JavaScript
ggomaeng/react-native-magazine-listview, 100, 11, "A pure javascript magazine listview for React Native framework.", JavaScript
kickstarter/android-oss, 3032, 418, "Kickstarter for Android. Bring new ideas to life, anywhere.", Java
Tencent/MSEC, 1933, 501, "Mass Service Engine in Cluster(MSEC) is opened source by QQ team from Tencent. It is a backend DEV &OPS engine, including RPC,name finding,load balance,monitoring,release and capacity management.  ", Java
wonderkiln/blurkit-android, 1620, 124, "The missing Android blurring library. Fast blur-behind layout that parallels iOS.", Java
florent37/DiagonalLayout, 1525, 167, "With Diagonal Layout explore new styles and approaches on material design", Java
google/wycheproof, 1495, 127, "Project Wycheproof tests crypto libraries against known attacks.", Java
Piasy/BigImageViewer, 1439, 155, "Big image viewer supporting pan and zoom, with very little memory usage and full featured image loading choices. Powered by Subsampling Scale Image View, Fresco, Glide, and Picasso.", Java
material-components/material-components-android, 1429, 66, "Modular and customizable Material Design UI components for Android", Java
githubwing/ZoomHeader, 1380, 227, "A demo of animation show how turn viewpager into detail.神交互。模仿饿了么详情页可以跟随手指移动 viewpager变详情页", Java
codeestX/ENViews, 1320, 177, "A cool dynamic view library", Java
amitshekhariitbhu/Android-Debug-Database, 1187, 105, "A library for debugging android databases and shared preferences - Make Debugging Great Again", Java
ImmortalZ/TransitionHelper, 1133, 133, "This is a simple util to create Activity transition animation", Java
erttyy8821/MyDiary, 1129, 176, "In the Movie '-your name.-' (君の名は。, 你的名字) , 'My Diary' of android version is.", Java
Kelin-Hong/ScrollablePanel, 1081, 137, "A flexible view for providing a limited rect window into a large data set,just like a two-dimensional RecyclerView.  It different from RecyclerView is that it's two-dimensional(just like a Panel) and it pin the itemView of first row and first column in their original location.", Java
UFreedom/FloatingView, 1058, 150, "FloatingView can make the target view floating above the anchor view with cool animation", Java
ssseasonnn/RxDownload, 1030, 176, "The download tool based on RxJava . Support multi-threaded download and breakpoint download, intelligent judge whether to support multi-threaded download and breakpoint download. 基于RxJava和Retrofit打造的下载工具, 支持多线程下载和断点续传, 智能判断是否支持断点续传等功能", Java
facebookincubator/TextLayoutBuilder, 972, 65, "An Android library that allows you to build text layouts more easily.", Java
lygttpod/SuperTextView, 968, 171, "a super textview for android", Java
nickbutcher/AnimatorDurationTile, 909, 69, "A quick settings tile to quickly set the animator duration scale.", Java
mancj/SlideUp-Android, 842, 82, "SlideUp is a small library that allows you to add sweet slide effect to any view.", Java
Yalantis/ToDoList, 836, 91, "Micro-Transitions for Smooth Android To-Do List Animations", Java
developer-shivam/Crescento, 818, 85, "Add curve at bottom of image views and relative layouts.", Java
CarGuo/GSYVideoPlayer, 818, 185, "视频播放器（IJKplayer），HTTPS支持，支持基本的拖动，声音、亮度调节，支持边播边缓存，支持视频本身自带rotation的旋转（90,270之类），重力旋转与手动旋转的同步支持，支持列表播放 ，直接添加控件为封面，列表全屏动画，视频加载速度，列表小窗口支持拖动，5.0的过场效果，调整比例，多分辨率切换，支持切换播放器，进度条小窗口预览，其他一些小动画效果。简书:", Java
a-voyager/BluetoothHelper, 750, 97, "Bluetooth Helper Library.—-蓝牙操作库", Java
philliphsu/BottomSheetPickers, 742, 72, "Third-party date and time pickers for Android.", Java
race604/WaveLoading, 733, 80, "A wave-like loading drawable", Java
thelong1EU/SpaceTabLayout, 733, 105, "This is a awesome TabLayout for Android with a central Floating  Action Button :D", Java
JZ-Darkal/AndroidHttpCapture, 723, 119, "AndroidHttpCapture网络诊断工具 是一款Android手机抓包软件 主要功能包括：手机端抓包、PING/DNS/TraceRoute诊断、抓包HAR数据上传分享。你也可以看成是Android版的'Fiddler' \(^o^)/~", Java
Hitomis/ActivitySwitcher, 720, 96, "ActivitySwitcher is based on the Activity view operation management library, you can achieve any jump between Activity, close any Activity and end applications and other functions.", Java
thunderrise/android-TNRAnimationHelper, 716, 82, "This is a library that contains practical animations: Rotation, Flip, Horizontal and Vertical Shake, Pulse.", Java
HuTianQi/QQ, 713, 185, "一款高仿腾讯QQ的IM软件，主UI框架采用侧滑菜单+底部导航的方式，核心聊天功能基于bmob SDK，已经实现文本，表情，图片，位置，语音等信息的发送。万水千山总是情，来个Star行不行？", Java
florent37/ArcLayout, 700, 95, "With Arc Layout explore new styles and approaches on material design", Java
matrixxun/MaterialBadgeTextView, 697, 109, "As the name describes, this is an Android library that you can use to show new messages badge and new features badge.", Java
JoaquimLey/faboptions, 694, 87, "A multi-functional FAB component with customizable options", Java
Freelander/Elephant, 692, 133, "Elephant is PHPHub Community Android unofficial client, base on Material Design + MVP+RxJava+Retrofit .", Java
hypertrack/smart-scheduler-android, 690, 49, "A utility library for scheduling periodic and non-periodic jobs efficiently.", Java
a371166028/likequanmintv, 684, 233, "基于MVP的Retrofit2(okhttp3)+rxjava+dagger2+greendao+glide+rtmp直播。该项目系仿全民TV,属于独立开发者作品,仅供参考学习，拒绝做一切商业用途，如有侵权，请告知删除", Java
gjiazhe/PanoramaImageView, 681, 71, "An imageView can auto scroll with device rotating.", Java
shaohui10086/AdvancedLuban, 662, 101, "An Advanced Compress Image Library for Android / 高效、简洁的图片压缩工具库 ", Java
ToDou/appbarlayout-spring-behavior, 645, 78, "One Behavior help AppBarLayout to scroll spring and with fling fix app bar and fling fix nest scroll view", Java
brianway/webporter, 624, 207, "基于 webmagic 的 Java 爬虫应用", Java
shaohui10086/BottomDialog, 617, 81, "BottomDialog is a bottom dialog layout implemented with DialogFragment, Supports pop-up animation, Support any layout", Java
DreaminginCodeZH/MaterialRatingBar, 611, 73, "Material Design RatingBar with better appearance.", Java
mcxtzhang/ZLayoutManager, 607, 98, "Some custom LayoutManager .Such as SwipeCard、FLowLayout。一些自定义的LayoutManager，仿探探、人人影视 炫动滑动 卡片层叠 和流式布局等。", Java
shaohui10086/ShareUtil, 605, 100, "社会化登录分享工具库", Java
limedroid/XDroid, 594, 137, "轻量级Android快速开发框架", Java
czy1121/update, 582, 84, "清晰灵活简单易用的应用更新库", Java
garretyoder/Colorful, 576, 45, "", Java
niniloveyou/StateButton, 569, 114, "一个可以用代码设置selector背景（按下去背景颜色更改，样式变化等等）的button, 再也不用写selector了", Java
SilenceDut/KnowWeather, 568, 86, "A nice weather app", Java
fishwjy/MultiType-FilePicker, 562, 77, "This is a light Android file picker library.", Java
dudu90/FreshDownloadView, 553, 75, "A download progressbar with cool animation", Java
jiangzehui/xmpp, 552, 143, "基于Xmpp协议的即时通讯社交软件(客户端+服务端)Open source one last year to write their own Xmpp based on the agreement of the instant messaging social software (client + server)", Java
githubwing/ByeBurger, 548, 105, "An Android behavior library let your titlebar or bottom navigation hiding on scroll ,极其简便的快速实现滑动隐藏标题栏和导航栏", Java
linglongxin24/DylanStepCount, 533, 89, "Android精准计步器", Java
vikramkakkar/ImageTransition, 528, 44, "A small android library to transition between a circular ImageView from one Activity to a rectangular ImageView in the launched Activity.", Java
Ajian-studio/GADownloading, 527, 67, "A Gorgeous LoadingView (一个绚丽的LoadingView )", Java
forezp/banya, 520, 125, "An open resource for Douban API with NETEASY Music's  UI.", Java
VictorAlbertos/BreadcrumbsView, 511, 60, "A customizable Android view for paginated forms", Java
gongwen/MarqueeViewLibrary, 505, 69, "一个帮您快速实现跑马灯效果的library", Java
bufferapp/BufferTextInputLayout, 499, 38, "A simple customised version of the TextInputLayout from the Android Design Support Library", Java
IntruderShanky/Squint, 497, 50, "Provide Diagonal cut on view with awesome customization #DiagonalView", Java
woxingxiao/BubbleSeekBar, 493, 67, "自定义SeekBar，进度变化由可视化气泡样式呈现", Java
android-notes/SwissArmyKnife, 487, 69, "android免root兼容所有版本ui调试工具", Java
hejunlin2013/DragVideo, 487, 87, "A Method to Drag the Video When Playing Video", Java
ByoxCode/DrawView, 482, 69, "Android view that allows the user to create drawings. Customize settings like color, width or tools. Undo or redo actions.", Java
republique-et-canton-de-geneve/chvote-1-0, 481, 36, "CHVote 1.0 repository", Java
lawloretienne/TinderStack, 477, 53, "A stack of cards similar to Tinder", Java
githubwing/DragPhotoView, 473, 68, "A photoView to scale image and finish activity，高仿微信可拖拽返回PhotoView", Java
douban/rexxar-android, 464, 63, "Mobile Hybrid Framework Rexxar Android Container", Java
Chen-Sir/ExpandableTextView, 442, 57, "Android TextView that can expand and collapse.", Java
suzeyu1992/repo, 435, 103, "📒 记录一个自己的知识库", Java
jineshfrancs/CaptchaImageView, 426, 47, "Custom ImageView to generate captcha image.", Java
Luolc/EmojiRain, 418, 50, "Implement a simple and funny Android animation —— the emoji rain in WeChat app.", Java
hejunlin2013/TVSample, 418, 87, "1、仿泰捷视频最新TV版 Metro UI效果. 2、仿腾讯视频TV版(云视听·极光) 列表页", Java
kayan1990/ShareButton, 413, 61, "A share button with smooth animation", Java
hpdx/DanmukuLight, 404, 48, "Android上专为视频直播打造的轻量级弹幕库（100多kb）", Java
githubwing/WingUE, 404, 54, "WingUE,一些较好用户体验实现集合", Java
zagum/Android-ExpandIcon, 399, 39, "Nice and simple customizable implementation of Google style up/down expand arrow.", Java
weavey/LoadingLayoutDemo, 392, 80, "", Java
