full_name,repo,description,stars,forks,language,user,name,type,location,lat,long,city,country,rank,prs_open,prs_closed,issues_open,issues_closed,contributors, commits
FormidableLabs/webpack-dashboard,webpack-dashboard,A CLI dashboard for webpack dev server,7985,193,JavaScript,FormidableLabs,Formidable,Organization,"Seattle, WA",47.6062095,-122.3320708,Seattle,United States,30,2,33,35,70,26,83
vapor/vapor,vapor,A web framework and server for Swift that works on macOS and Ubuntu.,7978,457,Swift,vapor,Vapor,Organization,NYC,40.7127837,-74.0059413,New York,United States,31,4,386,57,327,62,2754
Bilibili/flv.js,flv.js,HTML5 FLV Player,7846,1080,JavaScript,Bilibili,Bilibili,Organization,"Shanghai, China",31.230416,121.473701,Shanghai,China,32,2,12,24,38,3,306
storybooks/react-storybook,react-storybook,UI Component Dev Environment for React,7700,389,JavaScript,storybooks,Storybooks,Organization,,,,,,33,4,240,82,334,65,916
zeit/next.js,next.js,A minimalistic framework for universal server-rendered React applications,7698,344,JavaScript,zeit,ZEIT,Organization,,,,,,34,4,274,72,256,52,446
Rochester-NRT/RocAlphaGo,RocAlphaGo,"An independent, student-led replication of DeepMind's 2016 Nature publication, 'Mastering the game of Go with deep neural networks and tree search' (Nature 529, 484-489, 28 Jan 2016), details of which can be found on their website https://deepmind.com/publications.html.",7597,2111,Python,Rochester-NRT,,Organization,,,,,,35,2,93,29,70,14,407
gztchan/awesome-design,awesome-design,:flags: Best UI/UX Design Resources For Developer & Designer Ever :),7503,427,,gztchan,Tony Chan,User,"Canton, China",23.12911,113.264385,Guangzhou,China,36,8,45,2,10,32,144
Blankj/AndroidUtilCode,AndroidUtilCode,Android developers should collect the following utils(updating),7383,2386,Java,Blankj,布兰柯基,User,Hangzhou,30.274085,120.15507,Hangzhou,China,37,3,29,10,58,7,264
alexjc/neural-doodle,neural-doodle,"Turn your two-bit doodles into fine artworks with deep neural networks, generate seamless textures from photos, transfer style from one image to another, perform example-based upscaling, but wait... there's more! (An implementation of Semantic Style Transfer.)",7226,514,Python,alexjc,Alex J. Champandard,User,"Vienna, Austria",48.2081743,16.3738189,Vienna,Austria,38,3,9,28,52,3,122
dthree/cash,cash,Cross-platform Linux commands in ES6,7018,182,JavaScript,dthree,dc,User,Los Angeles,34.0522342,-118.2436849,Los Angeles,United States,39,3,39,29,33,18,167
Tencent/tinker,tinker,"Tinker is a hot-fix solution library for Android, it supports dex, library and resources update without reinstall apk.",6693,1299,Java,Tencent,Tencent,Organization,"Shenzhen, China",22.543096,114.057865,Shenzhen,China,40,1,27,4,261,9,123
FreeCodeCampChina/freecodecamp.cn,freecodecamp.cn,看源码请到Code，提问请到Issues，提交代码请到Pull requests，看学习心得请到Wiki。多谢合作，么么哒，^_^。,6557,305,CSS,FreeCodeCampChina,FreeCodeCamp 中国,Organization,China,35.86166,104.195397,,China,41,0,0,17,72,313,1777
so-fancy/diff-so-fancy,diff-so-fancy,Good-lookin' diffs. Actually… nah… The best-lookin' diffs. :tada:,6529,131,Perl,so-fancy,So Fancy,Organization,,,,,,42,5,99,15,90,34,300
mxgmn/WaveFunctionCollapse,WaveFunctionCollapse,Bitmap & tilemap generation from a single example with the help of ideas from quantum mechanics.,6494,247,C#,mxgmn,ExUtumno,User,Moscow,55.755826,37.6173,Moscow,Russia,43,1,14,1,13,7,47
CRYTEK-CRYENGINE/CRYENGINE,CRYENGINE,CRYENGINE is a powerful real-time game development platform created by Crytek.,6465,1007,C++,CRYTEK-CRYENGINE,,Organization,"Frankfurt am Main, Germany",50.1109221,8.6821267,Frankfurt,Germany,44,24,20,39,10,22,1307
ruanyf/jstraining,jstraining,全栈工程师培训材料,6405,1559,JavaScript,ruanyf,Ruan YiFeng,User,"Shanghai, China",31.230416,121.473701,Shanghai,China,45,0,12,0,13,8,58
facebookresearch/fastText,fastText,Library for fast text representation and classification.,6391,881,C++,facebookresearch,,Organization,,,,,,46,22,24,16,74,15,144
thejameskyle/the-super-tiny-compiler,the-super-tiny-compiler,:snowman: Possibly the smallest compiler ever,6363,414,JavaScript,thejameskyle,james kyle,User,san francisco,37.7749295,-122.4194155,San Francisco,United States,47.5,2,26,5,17,1,5
nosir/cleave.js,cleave.js,Format input text content when you are typing...,6363,305,JavaScript,nosir,Max Huang,User,"Sydney, Australia",-33.8688197,151.2092955,Sydney,Australia,47.5,2,42,22,78,12,163
shekhargulati/52-technologies-in-2016,52-technologies-in-2016,Let's learn a new technology every week. A new technology blog every Sunday in 2016.,6257,390,JavaScript,shekhargulati,Shekhar Gulati,User,,,,,,49,0,23,46,2,17,155
brillout/awesome-react-components,awesome-react-components,Catalog of React components / libraries,6178,274,,brillout,,User,,,,,,50,0,22,0,8,6,88
GoogleChrome/lighthouse,lighthouse,"Auditing, performance metrics, and best practices for Progressive Web Apps",6117,224,JavaScript,GoogleChrome,,Organization,,,,,,51,25,696,152,497,51,1366
p-e-w/maybe,maybe, :open_file_folder: :rabbit2: :tophat: See what a program does before deciding whether you really want it to happen.,6078,162,Python,p-e-w,Philipp Emanuel Weidmann,User,Anywhere the Internet is,,,,,52,1,6,11,20,2,75
eliangcs/http-prompt,http-prompt,HTTPie + prompt_toolkit = an interactive command-line HTTP client featuring autocomplete and syntax highlighting,5972,195,Python,eliangcs,Chang-Hung Liang,User,"Taipei, Taiwan",25.0329636,121.5654268,,Taiwan,53,0,54,14,32,10,252
huluoyang/freecodecamp.cn,freecodecamp.cn,随着FCC中文社区的快速发展和更多小伙伴的崛起，此项目已从个人项目升级到团队项目。详情请移步：,5957,329,JavaScript,huluoyang,huluoyang,User,苏州,31.298979,120.58529,Suzhou,China,54,0,119,1,111,312,1739
Microsoft/ChakraCore,ChakraCore,ChakraCore is the core part of the Chakra Javascript engine that powers Microsoft Edge,5907,678,JavaScript,Microsoft,Microsoft,Organization,"Redmond, WA",47.6739881,-122.121512,Redmond,United States,55,43,1692,172,394,71,4093
kataras/iris,iris,The fastest web framework for Go in (THIS) Earth.,5884,369,Go,kataras,Gerasimos (Makis) Maropoulos,User,Greece,39.074208,21.824312,,Greece,56,0,58,2,503,1,389
alexjc/neural-enhance,neural-enhance,Super Resolution for images using deep learning.,5879,409,Python,alexjc,Alex J. Champandard,User,"Vienna, Austria",48.2081743,16.3738189,Vienna,Austria,57,3,23,29,62,10,102
PowerShell/PowerShell,PowerShell,PowerShell for every system!,5840,705,C#,PowerShell,PowerShell Team,Organization,Redmond,47.6739881,-122.121512,Redmond,United States,58,35,1156,522,1231,117,3356
Tencent/mars,mars,Mars is a cross-platform network component  developed by WeChat.,5758,896,C++,Tencent,Tencent,Organization,"Shenzhen, China",22.543096,114.057865,Shenzhen,China,59,1,15,12,24,8,52
geeeeeeeeek/electronic-wechat,electronic-wechat,:speech_balloon: A better WeChat on macOS and Linux. Built with Electron by Zhongyi Tong.,5740,941,JavaScript,geeeeeeeeek,Zhongyi Tong,User,"Shanghai, China",31.230416,121.473701,Shanghai,China,60,8,69,61,267,27,214
akveo/blur-admin,blur-admin,Angular Bootstrap Admin Panel Framework,5735,1202,JavaScript,akveo,,Organization,Minsk,53.9045398,27.5615244,Minsk,Belarus,61,17,27,90,96,14,323
googlecreativelab/anypixel,anypixel,A web-friendly way for anyone to build unusual displays,5708,456,C,googlecreativelab,Google Creative Lab,Organization,,,,,,62,4,9,7,3,11,38
fogleman/primitive,primitive,Reproducing images with geometric primitives.,5646,233,Go,fogleman,Michael Fogleman,User,"Cary, NC",35.79154,-78.7811169,Cary,United States,63,4,5,6,29,3,146
255kb/stack-on-a-budget,stack-on-a-budget,A collection of services with great free tiers for developers on a budget,5618,244,,255kb,Guillaume,User,Luxembourg,49.815273,6.129583,,Luxembourg,64,11,61,17,37,33,273
jtoy/awesome-tensorflow,awesome-tensorflow,TensorFlow - A curated list of dedicated resources http://tensorflow.org,5577,742,,jtoy,,User,San Francisco / China / Boston,,,,,65,7,60,1,2,28,142
markerikson/react-redux-links,react-redux-links,"Curated tutorial and resource links I've collected on React, Redux, ES6, and more",5557,376,,markerikson,Mark Erikson,User,"OH, USA",40.4172871,-82.907123,,United States,66,0,34,1,6,21,208
alexa/alexa-avs-sample-app,alexa-avs-sample-app,"This project demonstrates how to access and test the Alexa Voice Service using a Java client (running on a Raspberry Pi), and a Node.js server.",5468,796,Shell,alexa,Alexa,Organization,,,,,,67,4,22,92,322,13,115
Homebrew/brew,brew,:beer: The missing package manager for macOS,5439,1482,Ruby,Homebrew,,Organization,,,,,,68,22,1053,28,656,432,3019
rgcr/m-cli,m-cli, Swiss Army Knife for macOS ,5425,186,Shell,rgcr,Rogelio Cedillo,User,,,,,,69,1,50,11,38,27,206
google/flexbox-layout,flexbox-layout,Flexbox for Android ,5406,555,Java,google,Google,Organization,,,,,,70,0,125,7,41,12,191
Microsoft/api-guidelines,api-guidelines,Microsoft REST API Guidelines,5373,430,,Microsoft,Microsoft,Organization,"Redmond, WA",47.6739881,-122.121512,Redmond,United States,71,2,40,12,23,25,76
roughike/BottomBar,BottomBar,A custom view component that mimics the new Material Design Bottom Navigation pattern.,5348,971,Java,roughike,Iiro Krankka,User,"Oulu, Finland",65.0120888,25.4650773,Oulu,Finland,72,29,56,233,294,24,680
samshadwell/TrumpScript,TrumpScript,Make Python great again,5347,317,Python,samshadwell,Sam Shadwell,User,"Houston, TX",29.7604267,-95.3698028,Houston,United States,73,10,71,61,55,33,232
mhinz/vim-galore,vim-galore,:mortar_board: All things Vim!,5346,183,VimL,mhinz,Marco Hinz,User,"Europe, Potsdam",52.3905689,13.0644729,Potsdam,Germany,74,0,36,6,63,24,263
open-power-workgroup/Hospital,Hospital,OpenPower工作组收集汇总的医院开放数据,5308,993,HTML,open-power-workgroup,,Organization,,,,,,75,0,206,39,95,94,673
thejameskyle/itsy-bitsy-data-structures,itsy-bitsy-data-structures,:european_castle: All the things you didn't know you wanted to know about data structures,5291,333,JavaScript,thejameskyle,james kyle,User,san francisco,37.7749295,-122.4194155,San Francisco,United States,76,4,27,5,8,21,27
Kapeli/Dash-iOS,Dash-iOS,Dash gives your iPad and iPhone instant offline access to 150+ API documentation sets,5169,712,Objective-C,Kapeli,Bogdan Popescu,User,,,,,,77,0,11,4,20,3,61
IBM-Swift/Kitura,Kitura,A Swift web framework and HTTP server.,5129,319,Swift,IBM-Swift,Swift@IBM,Organization,,,,,,78,3,179,70,700,42,903
yhatt/marp,marp,"Markdown presentation writer, powered by Electron.",5117,225,CoffeeScript,yhatt,Yuki Hattori,User,Japan,36.204824,138.252924,,Japan,79,4,28,68,41,9,288
reactotron/reactotron,reactotron,A desktop app for inspecting your React JS and React Native projects.,5049,141,JavaScript,reactotron,Reactotron,Organization,,,,,,80,0,201,32,82,23,452
justjavac/awesome-wechat-weapp,awesome-wechat-weapp,微信小程序开发资源汇总 wechat weapp,5038,997,JavaScript,justjavac,迷渡,User,"Tianjin, China",39.084158,117.200983,Tianjin,China,81,0,82,0,13,58,221
rushter/MLAlgorithms,MLAlgorithms,Minimal and clean examples of machine learning algorithms,5003,566,Python,rushter,Artem Golubin,User,Russia,61.52401,105.318756,,Russia,82,1,18,3,3,10,74
vic317yeh/One-Click-to-Be-Pro,One-Click-to-Be-Pro,A list of the best resources to help you become a pro,4979,337,,vic317yeh,Vic Yeh,User,"Los Angeles, CA",34.0522342,-118.2436849,Los Angeles,United States,83,8,35,3,6,21,75
CymChad/BaseRecyclerViewAdapterHelper,BaseRecyclerViewAdapterHelper,"Powerful and flexible RecyclerAdapter,www.recyclerview.org",4881,1082,Java,CymChad,陈宇明,User,Shanghai,31.230416,121.473701,Shanghai,China,84,1,110,4,571,15,594
uWebSockets/uWebSockets,uWebSockets,Highly scalable cross-platform WebSocket & HTTP library for C++11 and Node.js,4691,233,C++,uWebSockets,,Organization,Sweden,60.128161,18.643501,,Sweden,85,3,70,25,285,26,661
zyedidia/micro,micro,A modern and intuitive terminal-based text editor,4663,181,Go,zyedidia,Zachary Yedidia,User,Boston,42.3600825,-71.0588801,Boston,United States,86,5,179,35,297,51,1059
0x5e/wechat-deleted-friends,wechat-deleted-friends,查看被删的微信好友,4617,1695,Python,0x5e,gaosen,User,"China, Zhejiang, Hangzhou",30.274085,120.15507,Hangzhou,China,87,2,34,42,68,16,71
phodal/growth-ebook,growth-ebook,Growth Engineering: The Definitive Guide。全栈增长工程师指南,4552,863,HTML,phodal,Fengda Huang,User,Shenzhen China,22.543096,114.057865,Shenzhen,China,88,0,46,1,17,19,620
donnemartin/gitsome,gitsome,A supercharged Git/GitHub command line interface (CLI).  An official integration for GitHub and GitHub Enterprise.,4482,158,Python,donnemartin,Donne Martin,User,"Washington, D.C.",38.9071923,-77.0368707,Washington,United States,89.5,3,49,16,34,19,749
openai/gym,gym,A toolkit for developing and comparing reinforcement learning algorithms.,4482,851,Python,openai,,Organization,,,,,,89.5,17,222,72,141,68,614
tflearn/tflearn,tflearn,Deep learning library featuring a higher-level API for TensorFlow.,4462,653,Python,tflearn,TFLearn,Organization,,,,,,91,11,134,170,227,65,423
decosoftware/deco-ide,deco-ide,The React Native IDE,4454,200,JavaScript,decosoftware,Deco Software,Organization,"San Francisco, CA",37.7749295,-122.4194155,San Francisco,United States,92,2,151,68,48,13,207
santinic/how2,how2,stackoverflow from the terminal,4441,108,JavaScript,santinic,Claudio Santini,User,"London, UK",51.5073509,-0.1277583,London,United Kingdom,93.5,8,22,26,23,9,117
gavinkwoe/weapp-ide-crack,weapp-ide-crack,【应用号】IDE + 破解 + Demo,4441,1217,JavaScript,gavinkwoe,Gavin.Kwoe,User,"Beijing, china",39.904211,116.407395,Beijing,China,93.5,5,13,35,23,10,67
dear-github/dear-github,dear-github, :incoming_envelope: An open letter to GitHub from the maintainers of open source projects,4430,94,,dear-github,,Organization,,,,,,95,2,64,125,28,33,74
Hack-with-Github/Awesome-Hacking,Awesome-Hacking,"A collection of various awesome lists for hackers, pentesters and security researchers",4428,448,,Hack-with-Github,Hack with GitHub,Organization,"Bangalore, India",12.9715987,77.5945627,Bengaluru,India,96,0,4,0,1,4,51
a1studmuffin/SpaceshipGenerator,SpaceshipGenerator,A Blender script to procedurally generate 3D spaceships,4391,171,Python,a1studmuffin,Michael Davies,User,"Melbourne, Australia",-37.8136276,144.9630576,Melbourne,Australia,97,0,2,2,11,2,28
Yalantis/uCrop,uCrop,Image Cropping Library for Android,4343,759,Java,Yalantis,Yalantis,Organization,"Ukraine, Dnipro",48.464717,35.046183,Dnipro,Ukraine,98,7,41,45,153,20,172
commaai/openpilot,openpilot,open source driving agent,4337,850,C,commaai,,Organization,,,,,,99,0,4,12,18,2,6
engineerapart/TheRemoteFreelancer,TheRemoteFreelancer,"Listing of community-curated resources to find topical remote freelance & contract work for software developers, web designers, and more!",4304,182,,engineerapart,,Organization,,,,,,100,6,40,3,6,26,109
noffle/art-of-readme,art-of-readme,:love_letter: Learn the art of writing quality READMEs.,4204,167,,noffle,Stephen Whitmore,User,The tundra of Canada,,,,,101,4,35,4,3,27,101
JackyAndroid/AndroidInterview-Q-A,AndroidInterview-Q-A,The top Internet companies android interview questions and answers,4179,968,Java,JackyAndroid,Jacky Wang,User,Beijing China,39.904211,116.407395,Beijing,China,102,0,10,1,6,5,67
mjmlio/mjml,mjml,MJML: the only framework that makes responsive-email easy,4145,283,JavaScript,mjmlio,MJML,Organization,,,,,,103,5,139,68,274,35,1075
you-dont-need/You-Dont-Need-Lodash-Underscore,You-Dont-Need-Lodash-Underscore,Lists of Javascript methods which you can use natively + Eslint Plugin,4137,143,JavaScript,you-dont-need,You Don't Need,Organization,,,,,,104,1,50,7,14,26,150
metagrover/ES6-for-humans,ES6-for-humans,A kickstarter guide to writing ES6.,4060,210,,metagrover,Deepak Grover,User,India,20.593684,78.96288,,India,105,0,37,1,6,24,54
PaddlePaddle/Paddle,Paddle,PArallel Distributed Deep LEarning,4041,1003,C++,PaddlePaddle,,Organization,,,,,,106,22,452,147,428,51,1366
channelcat/sanic,sanic,Python 3.5+ web server that's written to go fast,3989,263,Python,channelcat,Channel Cat,User,Los Angeles,34.0522342,-118.2436849,Los Angeles,United States,107,18,143,38,59,46,388
jayphelps/git-blame-someone-else,git-blame-someone-else,Blame someone else for your bad code.,3944,121,Shell,jayphelps,Jay Phelps,User,"Bay Area, CA",37.8271784,-122.2913078,,United States,108,7,2,0,0,4,13
VPenkov/okayNav,okayNav,The world's okayest responsive navigation,3938,282,JavaScript,VPenkov,VPenkov,User,"Sofia, Bulgaria",42.6977082,23.3218675,Sofia,Bulgaria,109,3,9,21,22,7,80
jgamblin/Mirai-Source-Code,Mirai-Source-Code,Leaked Mirai Source Code for Research/IoC Development Purposes,3901,2127,C,jgamblin,Jerry Gamblin,User,United States,37.09024,-95.712891,,United States,110,1,15,3,15,2,4
reverse-shell/routersploit,routersploit,The Router Exploitation Framework,3888,464,Python,reverse-shell,Reverse Shell Security,Organization,,,,,,111,3,55,23,80,30,458
dropbox/lepton,lepton,Lepton is a tool and file format for losslessly compressing JPEGs by an average of 22%.,3869,257,C++,dropbox,Dropbox,Organization,San Francisco,37.7749295,-122.4194155,San Francisco,United States,112,3,22,19,33,18,353
david-gpu/srez,srez,Image super-resolution through deep learning,3856,286,Python,david-gpu,David Garcia,User,"Toronto, Canada",43.653226,-79.3831843,Toronto,Canada,113,1,2,0,15,3,22
openai/universe,universe,"Universe: a software platform for measuring and training an AI's general intelligence across the world's supply of games, websites and other applications.",3849,316,Python,openai,,Organization,,,,,,114,2,20,21,47,19,141
storehouse/Advance,Advance,"A powerful animation framework for iOS, tvOS, and OS X.",3797,225,Swift,storehouse,Storehouse,Organization,"San Francisco, CA",37.7749295,-122.4194155,San Francisco,United States,115.5,0,9,1,8,8,45
Jasonette/JASONETTE-iOS,JASONETTE-iOS,"📡 Native App over HTTP, on iOS",3797,161,Objective-C,Jasonette,,Organization,,,,,,115.5,5,20,38,36,9,116
PokemonGoF/PokemonGo-Bot,PokemonGo-Bot,"The Pokemon Go Bot, baking with community.",3772,1769,Python,PokemonGoF,,Organization,,,,,,117,8,1969,106,3729,321,2757
GeniusVJR/LearningNotes,LearningNotes,Enjoy Learning.,3765,1429,,GeniusVJR,陶程,User,,,,,,118,2,14,22,4,12,210
krasimir/react-in-patterns,react-in-patterns,:books: List of design patterns/techniques used while developing with React,3749,139,JavaScript,krasimir,Krasimir Tsonev,User,Bulgaria,42.733883,25.48583,,Bulgaria,119,0,10,2,6,7,80
wulkano/kap,kap,An open-source screen recorder built with web technology,3678,135,JavaScript,wulkano,Wulkano,Organization,,,,,,120,0,48,34,46,12,454
algolia/places,places,:globe_with_meridians: Turn any <input> into an address autocomplete,3661,123,JavaScript,algolia,Algolia,Organization,"SF, Paris",37.7208353,-122.4356071,San Francisco,United States,121,2,240,26,107,15,558
danielzeller/Depth-LIB-Android-,Depth-LIB-Android-,A library that gives depth to Views.,3660,533,Java,danielzeller,Daniel Zeller,User,Norway,60.472024,8.468946,,Norway,122,0,5,8,4,6,29
Curzibn/Luban,Luban,Luban(鲁班)—Image compression with efficiency very close to WeChat Moments/可能是最接近微信朋友圈的图片压缩算法,3652,698,Java,Curzibn,郑梓斌,User,,,,,,123,6,7,59,34,7,96
kickstarter/ios-oss,ios-oss,"Kickstarter for iOS. Bring new ideas to life, anywhere.",3632,410,Swift,kickstarter,Kickstarter,Organization,"Brooklyn, NY",40.6781784,-73.9441579,,United States,124,3,12,7,7,12,934
samyk/poisontap,poisontap,"Exploits locked/password protected computers over USB, drops persistent WebSocket-based backdoor, exposes internal router, and siphons cookies using Raspberry Pi Zero & Node.js.",3597,671,JavaScript,samyk,Samy Kamkar,User,"Los Angeles, California",34.0522342,-118.2436849,Los Angeles,United States,125,8,7,52,18,6,29
react-native-community/react-native-elements,react-native-elements,React Native Elements UI Toolkit,3571,229,JavaScript,react-native-community,React Native Community,Organization,,,,,,126,2,35,15,82,22,218
xtaci/kcptun,kcptun,A Simple UDP Tunnel Based On KCP ,3570,713,Go,xtaci,xtaci,User,"Chengdu, China",30.572816,104.066801,Chengdu,China,127,1,9,36,316,3,250
sveltejs/svelte,svelte,The magical disappearing UI framework,3566,85,JavaScript,sveltejs,Svelte,Organization,,,,,,128,5,71,48,113,11,401
camwiegert/in-view,in-view,Get notified when a DOM element enters or exits the viewport. :eyes:,3548,132,JavaScript,camwiegert,Cam Wiegert,User,"Madison, WI",43.0730517,-89.4012302,Madison,United States,129,2,14,9,28,6,156
styled-components/styled-components,styled-components,Visual primitives for the component age 💅,3534,143,JavaScript,styled-components,styled-components,Organization,,,,,,130,17,137,42,146,48,600
Instagram/IGListKit,IGListKit,A data-driven UICollectionView framework for building fast and flexible lists.,3527,243,Objective-C,Instagram,Instagram,Organization,"San Francisco, CA",37.7749295,-122.4194155,San Francisco,United States,131,3,194,23,159,29,195
getlantern/forum,forum,蓝灯(Lantern)官方论坛,3526,803,,getlantern,Lantern,Organization,,,,,,132,0,0,1707,536,2,86
amznlabs/amazon-dsstne,amazon-dsstne,Deep Scalable Sparse Tensor Network Engine (DSSTNE) is an Amazon developed library for building Deep Learning (DL) machine learning (ML) models ,3504,557,C++,amznlabs,Amazon - Labs,Organization,"Seattle, WA",47.6062095,-122.3320708,Seattle,United States,133,0,58,14,49,22,221
Microsoft/monaco-editor,monaco-editor,A browser based code editor,3499,210,HTML,Microsoft,Microsoft,Organization,"Redmond, WA",47.6739881,-122.121512,Redmond,United States,134,1,10,169,126,15,131
aymericdamien/TopDeepLearning,TopDeepLearning,A list of popular github projects related to deep learning,3498,369,,aymericdamien,Aymeric Damien,User,,,,,,135,2,6,6,3,7,21
sarcadass/granim.js,granim.js,Create fluid and interactive gradients animations with this small (< 10 kB) js library.,3470,144,JavaScript,sarcadass,Benjamin Blonde,User,"Paris, France",48.856614,2.3522219,Paris,France,136,0,8,2,17,5,67
