full_name, stars, forks, description, language
drakeet/MultiType, 1208, 175, "An Android library to retrofit multiple item view types", Java
omkarmoghe/Pokemap, 1208, 442, "A native Android client to map the Pokemon around you!", Java
huazhiyuan2008/RecyclerViewCardGallery, 1198, 187, "RecyclerView实现Card Gallery效果，替代ViewPager方案", Java
amitshekhariitbhu/Android-Debug-Database, 1187, 105, "A library for debugging android databases and shared preferences - Make Debugging Great Again", Java
XunMengWinter/CircularAnim, 1160, 178, "Android ripple animation helper, easy to create Circular Reveal. | Android水波动画帮助类，轻松实现View show/hide/startActivity()特效。(0.3.3)", Java
armcha/Space-Navigation-View, 1155, 185, "Space Navigation is a library allowing easily integrate fully customizable Google Spaces like navigation to your app.", Java
yipianfengye/android-zxingLibrary, 1152, 252, "几行代码快速集成二维码扫描功能", Java
ImmortalZ/TransitionHelper, 1133, 133, "This is a simple util to create Activity transition animation", Java
erttyy8821/MyDiary, 1129, 176, "In the Movie '-your name.-' (君の名は。, 你的名字) , 'My Diary' of android version is.", Java
yanzhenjie/SwipeRecyclerView, 1122, 310, "RecyclerView侧滑菜单，长按拖拽，滑动删除，自动加载更多，和ViewPager结合使用，和任何下拉刷新框架结合使用。", Java
Grover-c13/PokeGOAPI-Java, 1104, 408, "Pokemon Go API", Java
ImmortalZ/StereoView, 1100, 220, "Android 3D立体无限旋转容器。This is a stereo view(3D) for Android.", Java
nekocode/CameraFilter, 1088, 156, "📷 Realtime camera filters for android.", Java
Kelin-Hong/ScrollablePanel, 1081, 137, "A flexible view for providing a limited rect window into a large data set,just like a two-dimensional RecyclerView.  It different from RecyclerView is that it's two-dimensional(just like a Panel) and it pin the itemView of first row and first column in their original location.", Java
Cleveroad/FanLayoutManager, 1074, 148, "Using Fan Layout Manager you can implement the horizontal list, the items of which move like fan blades ", Java
UFreedom/FloatingView, 1058, 150, "FloatingView can make the target view floating above the anchor view with cool animation", Java
ssseasonnn/RxDownload, 1030, 176, "The download tool based on RxJava . Support multi-threaded download and breakpoint download, intelligent judge whether to support multi-threaded download and breakpoint download. 基于RxJava和Retrofit打造的下载工具, 支持多线程下载和断点续传, 智能判断是否支持断点续传等功能", Java
eleme/Amigo, 985, 144, "A hotfix library for Android platform, and not just this...", Java
eschao/android-PageFlip, 977, 99, "3D Style Page Flip on Android", Java
mzule/FantasySlide, 972, 147, "Another sliding menu base on DrawerLayout", Java
facebookincubator/TextLayoutBuilder, 972, 65, "An Android library that allows you to build text layouts more easily.", Java
lygttpod/SuperTextView, 968, 171, "a super textview for android", Java
stfalcon-studio/FrescoImageViewer, 947, 121, "Customizable Android full screen image viewer for Fresco library supporting 'pinch to zoom' and 'swipe to dismiss' gestures", Java
Sunzxyong/Recovery, 940, 127, "A crash recovery framework!", Java
DroidNinja/Android-FilePicker, 926, 152, "Photopicker and document picker for android", Java
JeasonWong/Particle, 919, 124, "It's a cool animation which can use in splash or somewhere else.", Java
nickbutcher/AnimatorDurationTile, 909, 69, "A quick settings tile to quickly set the animator duration scale.", Java
JessYanCoding/MVPArms, 905, 254, "a common Architecture for Android Applications developing based on MVP，integrates many Open Source Projects( like Dagger2,Rxjava,Retrofit... ),to make your developing quicker and easier. ", Java
jaydenxiao2016/AndroidFire, 891, 313, "AndroidFire，一款新闻阅读 App框架，基于 Material Design + MVP + RxJava + Retrofit + Glide，基本涵盖了当前 Android 端开发最常用的主流框架，基于此框架可以快速开发一个app。", Java
TangXiaoLv/TelegramGallery, 890, 149, "world level Gallery , from Telegram ，QQ 相册风格，相册选择器", Java
mmin18/RealtimeBlurView, 853, 85, "A realtime blurring overlay for Android (like iOS UIVisualEffectView)", Java
mancj/SlideUp-Android, 842, 82, "SlideUp is a small library that allows you to add sweet slide effect to any view.", Java
Yalantis/ToDoList, 836, 91, "Micro-Transitions for Smooth Android To-Do List Animations", Java
HotBitmapGG/CreditSesameRingView, 833, 138, "Imitation of Ali credit sesame new old ring view.http://www.jianshu.com/p/8486a5baa708", Java
CoXier/LowPoly, 827, 65, "LowPoly For Android", Java
developer-shivam/Crescento, 818, 85, "Add curve at bottom of image views and relative layouts.", Java
CarGuo/GSYVideoPlayer, 818, 185, "视频播放器（IJKplayer），HTTPS支持，支持基本的拖动，声音、亮度调节，支持边播边缓存，支持视频本身自带rotation的旋转（90,270之类），重力旋转与手动旋转的同步支持，支持列表播放 ，直接添加控件为封面，列表全屏动画，视频加载速度，列表小窗口支持拖动，5.0的过场效果，调整比例，多分辨率切换，支持切换播放器，进度条小窗口预览，其他一些小动画效果。简书:", Java
dongjunkun/CouponView, 801, 124, "半圆锯齿背景虚线边框组合实现简单优惠券效果，可实现一些简单组合", Java
eleme/HermesEventBus, 795, 90, "A library for using EventBus between processes, useful in the IPC or plugin development.", Java
Slyce-Inc/SlyceMessaging, 793, 124, "A messaging library for Android", Java
wl9739/BlurredView, 787, 145, "Dynamic blur of image views for Android", Java
armcha/AutoLinkTextView, 786, 89, "AutoLinkTextView is TextView that supports Hashtags (#), Mentions (@) , URLs (http://), Phone and Email automatically detecting and ability to handle clicks.", Java
ShamylZakariya/FlyoutMenus, 773, 71, "Simple material-style flyout menus for Android. There are many flyout type menus for Android, but this one is mine.", Java
chengdazhi/DecentBanner, 772, 85, "An ViewPager based Android Banner that supports auto scrolling and decent animation", Java
a-voyager/BluetoothHelper, 750, 97, "Bluetooth Helper Library.—-蓝牙操作库", Java
philliphsu/BottomSheetPickers, 742, 72, "Third-party date and time pickers for Android.", Java
loopeer/itemtouchhelper-extension, 739, 82, "Extension for itemtouchhelper with swipe settling,recover and no conflict with recyclerview", Java
race604/WaveLoading, 733, 80, "A wave-like loading drawable", Java
thelong1EU/SpaceTabLayout, 733, 105, "This is a awesome TabLayout for Android with a central Floating  Action Button :D", Java
JZ-Darkal/AndroidHttpCapture, 723, 119, "AndroidHttpCapture网络诊断工具 是一款Android手机抓包软件 主要功能包括：手机端抓包、PING/DNS/TraceRoute诊断、抓包HAR数据上传分享。你也可以看成是Android版的'Fiddler' \(^o^)/~", Java
Hitomis/ActivitySwitcher, 720, 96, "ActivitySwitcher is based on the Activity view operation management library, you can achieve any jump between Activity, close any Activity and end applications and other functions.", Java
thunderrise/android-TNRAnimationHelper, 716, 82, "This is a library that contains practical animations: Rotation, Flip, Horizontal and Vertical Shake, Pulse.", Java
HuTianQi/QQ, 713, 185, "一款高仿腾讯QQ的IM软件，主UI框架采用侧滑菜单+底部导航的方式，核心聊天功能基于bmob SDK，已经实现文本，表情，图片，位置，语音等信息的发送。万水千山总是情，来个Star行不行？", Java
SchibstedSpain/Parallax-Layer-Layout, 711, 57, "Layered parallax effect to any Android views", Java
mancj/MaterialSearchBar, 704, 103, "Material Design Search Bar for Android", Java
florent37/ArcLayout, 700, 95, "With Arc Layout explore new styles and approaches on material design", Java
Genius/groupie, 700, 51, "Groupie helps you display and manage complex RecyclerView layouts.", Java
matrixxun/MaterialBadgeTextView, 697, 109, "As the name describes, this is an Android library that you can use to show new messages badge and new features badge.", Java
Jasonchenlijian/FastBle, 697, 168, "Android BLE 蓝牙快速开发框架，使用回调方式处理：scan、connect、notify、indicate、write、read等一系列蓝牙操作。", Java
JoaquimLey/faboptions, 694, 87, "A multi-functional FAB component with customizable options", Java
andremion/Floating-Navigation-View, 692, 99, "A simple Floating Action Button that shows an anchored Navigation View", Java
Freelander/Elephant, 692, 133, "Elephant is PHPHub Community Android unofficial client, base on Material Design + MVP+RxJava+Retrofit .", Java
hypertrack/smart-scheduler-android, 690, 49, "A utility library for scheduling periodic and non-periodic jobs efficiently.", Java
nisrulz/android-tips-tricks, 688, 99, ":ballot_box_with_check: [Cheatsheet] Tips and tricks for Android Development", Java
chengdazhi/StyleImageView, 685, 81, "Add styles and filters to ImageViews, Views' backgroud, Drawables and Bitmaps, with animation and bitmap output.", Java
a371166028/likequanmintv, 684, 233, "基于MVP的Retrofit2(okhttp3)+rxjava+dagger2+greendao+glide+rtmp直播。该项目系仿全民TV,属于独立开发者作品,仅供参考学习，拒绝做一切商业用途，如有侵权，请告知删除", Java
zhoubowen-sky/LingDong2.0, 682, 165, "“面对面文件快传”，Android端灵动快传，安卓互传文件，局域网，无网传输文件，Android，file transfer", Java
gjiazhe/PanoramaImageView, 681, 71, "An imageView can auto scroll with device rotating.", Java
scola/Qart, 677, 77, "Qart merge picture and QR code, based on https://github.com/chinuno-usami/CuteR", Java
booncol/Pulsator4Droid, 665, 104, "Pulse animation for Android", Java
shaohui10086/AdvancedLuban, 662, 101, "An Advanced Compress Image Library for Android / 高效、简洁的图片压缩工具库 ", Java
XBeats/and_swipeback, 655, 85, "高仿最新版微信6.2手势滑动返回", Java
ToDou/appbarlayout-spring-behavior, 645, 78, "One Behavior help AppBarLayout to scroll spring and with fling fix app bar and fling fix nest scroll view", Java
lypeer/GoogleClock, 645, 69, "The core of it is SVG .", Java
jinatonic/confetti, 644, 76, "An Android particle system library for displaying confetti!", Java
Hitomis/CircleMenu, 634, 74, "Delicate, chic and supports customizable circle menu", Java
ldoublem/PaperShredder, 628, 77, "a PaperShredder view for android", Java
brianway/webporter, 624, 207, "基于 webmagic 的 Java 爬虫应用", Java
wuapnjie/StickerView, 621, 111, "A view which can add sticker and zoom,drag,delete it", Java
shaohui10086/BottomDialog, 617, 81, "BottomDialog is a bottom dialog layout implemented with DialogFragment, Supports pop-up animation, Support any layout", Java
amitshekhariitbhu/RxJava2-Android-Samples, 615, 77, "RxJava 2 Android Examples - Migration From RxJava 1 to RxJava 2 - How to use RxJava 2 in Android", Java
zaihuishou/ExpandableRecyclerview, 614, 90, "An ExpandableRecycleradapter with Recyclerview", Java
oubowu/SlideBack, 612, 57, "A library to close an activity with swipe gestures.", Java
DreaminginCodeZH/MaterialRatingBar, 611, 73, "Material Design RatingBar with better appearance.", Java
Kelin-Hong/CalendarListView, 607, 129, "A custom ListView combine with CalendarView which interactive each other.", Java
mcxtzhang/ZLayoutManager, 607, 98, "Some custom LayoutManager .Such as SwipeCard、FLowLayout。一些自定义的LayoutManager，仿探探、人人影视 炫动滑动 卡片层叠 和流式布局等。", Java
shaohui10086/ShareUtil, 605, 100, "社会化登录分享工具库", Java
a-voyager/AutoInstaller, 604, 130, "应用自动静默更新安装库.", Java
yanzhenjie/AndPermission, 603, 108, "Android Permission = AndPermission. Android运行时权限管理最佳实践。", Java
JakeWharton/retrofit2-rxjava2-adapter, 599, 40, "An RxJava 2 CallAdapter.Factory implementation for Retrofit 2.", Java
supercwn/SuperPlayer, 595, 134, "SuperPlayer 是一个基于IjkPlayer的控制器，支持手势操作，滑动快进，快退，支持，上滑音量亮度的变化，支持指点位置播放，播放源的切换", Java
grandcentrix/ThirtyInch, 594, 56, "a MVP library for Android favoring a stateful Presenter", Java
limedroid/XDroid, 594, 137, "轻量级Android快速开发框架", Java
GeekGhost/Ghost, 593, 189, "微影，一款纯粹的在线视频App，基于Material Design + MVP + RxJava + Retrofit + Realm + Glide  ", Java
PureDark/H-Viewer, 586, 88, "An android feed reader application which fetch data with selector and regular expression.", Java
czy1121/update, 582, 84, "清晰灵活简单易用的应用更新库", Java
JeasonWong/ElemeShoppingView, 577, 101, "仿饿了么点击购物效果", Java
garretyoder/Colorful, 576, 45, "", Java
Hitomis/SpinMenu, 575, 78, "轮盘样式的 Fragment 选择菜单，可转动轮盘切换 Fragment", Java
niniloveyou/StateButton, 569, 114, "一个可以用代码设置selector背景（按下去背景颜色更改，样式变化等等）的button, 再也不用写selector了", Java
SilenceDut/KnowWeather, 568, 86, "A nice weather app", Java
fishwjy/MultiType-FilePicker, 562, 77, "This is a light Android file picker library.", Java
mcxtzhang/SwipeDelMenuLayout, 560, 120, "The most simple SwipeMenu in the history, 0 coupling, support any ViewGroup. Step integration swipe (delete) menu, high imitation QQ, iOS. ~史上最简单侧滑菜单，0耦合，支持任意ViewGroup。一步集成侧滑(删除)菜单，高仿QQ、IOS。~", Java
linkedin/test-butler, 557, 54, "Reliable Android Testing, at your service", Java
dynamitechetan/FogView_Library, 554, 68, "FogView is a android library that can show fog on any layout and the fog removes when user rubs it.", Java
JeasonWong/SlackLoadingView, 553, 72, "手摸手教你写Slack的Loading动画", Java
dudu90/FreshDownloadView, 553, 75, "A download progressbar with cool animation", Java
jiangzehui/xmpp, 552, 143, "基于Xmpp协议的即时通讯社交软件(客户端+服务端)Open source one last year to write their own Xmpp based on the agreement of the instant messaging social software (client + server)", Java
gjiazhe/WaveSideBar, 549, 100, "An Index Side Bar With Wave Effect", Java
salRoid/Filmy, 548, 116, "🎥 Material designed awesome movie app which is powered by tmdb.", Java
githubwing/ByeBurger, 548, 105, "An Android behavior library let your titlebar or bottom navigation hiding on scroll ,极其简便的快速实现滑动隐藏标题栏和导航栏", Java
iReaderAndroid/ZeusPlugin, 546, 99, "最简单易懂的Android插件补丁框架", Java
varunest/SparkButton, 543, 64, "Android library to create buttons with Twitter's heart like animation.", Java
renaudcerrato/DoorSignView, 542, 69, "Customizable, sensor-enabled, door sign custom views for Android.", Java
ldoublem/GiftCard, 541, 78, "A beautiful gift Cards for android", Java
qiujuer/UPMiss, 541, 95, "UPMiss is birthday management software, use MVP. ", Java
qifengdeqingchen/SeatTable, 540, 109, "电影票在线选座", Java
ldoublem/FlightSeat, 538, 101, "Ticket seat selection", Java
aliab/circular-music-progressbar, 537, 67, "Beautiful Circular Progress Bar with album art for android", Java
linglongxin24/DylanStepCount, 533, 89, "Android精准计步器", Java
florent37/FiftyShadesOf, 529, 60, "An elegant context-care loading placeholder for Android", Java
aryarohit07/PicassoFaceDetectionTransformation, 529, 56, "An Android image transformation library providing cropping above Face Detection (Face Centering) for Picasso.", Java
vikramkakkar/ImageTransition, 528, 44, "A small android library to transition between a circular ImageView from one Activity to a rectangular ImageView in the launched Activity.", Java
Ajian-studio/GADownloading, 527, 67, "A Gorgeous LoadingView (一个绚丽的LoadingView )", Java
applidium/PokemonGo_Android_RE, 525, 155, "", Java
nekocode/Emojix, 522, 50, "One line of code to implement emoji to your whole android application.", Java
forezp/banya, 520, 125, "An open resource for Douban API with NETEASY Music's  UI.", Java
ParkSangGwon/TedBottomPicker, 517, 79, "TedBottomPicker is simple image picker using bottom sheet", Java
Yellow5A5/ActSwitchAnimTool, 517, 71, "ActSwitchAnimTool make the Animation easy to implements, and it compat the version of Android 4.0 or above.", Java
ldoublem/ThumbUp, 517, 77, "A nice thumb up control", Java
FlyingPumba/SimpleRatingBar, 512, 73, "Open source project which features a simple yet powerful RatingBar alternative to Android's default", Java
VictorAlbertos/BreadcrumbsView, 511, 60, "A customizable Android view for paginated forms", Java
lawloretienne/DiscreteSlider, 509, 57, "A slider that allows a user to select a value at one of the specified tickmarks", Java
gongwen/MarqueeViewLibrary, 505, 69, "一个帮您快速实现跑马灯效果的library", Java
a-voyager/ScrollNumber, 502, 73, "custom widget--srcoll number", Java
TangXiaoLv/Android-Easy-MultiDex, 502, 100, "Android，multidex，splitdex，分包插件", Java
jiangzehui/polygonsview, 501, 81, "模仿掌上英雄联盟能力分析效果", Java
L4Digital/FastScroll, 500, 37, "A ListView-like FastScroller for Android’s RecyclerView.", Java
bufferapp/BufferTextInputLayout, 499, 38, "A simple customised version of the TextInputLayout from the Android Design Support Library", Java
IntruderShanky/Squint, 497, 50, "Provide Diagonal cut on view with awesome customization #DiagonalView", Java
adrielcafe/AndroidAudioRecorder, 496, 104, "A fancy audio recorder lib for Android. Supports WAV format at 48kHz.", Java
youxin11544/MVP-RxJava-Hybride, 495, 169, "This is an Android MVP model good architecture design，Which also inherited the Android architecture and HTML 5 interaction。（这是一个Android MVP模型良好的架构设计,同时也做了Android和HTML 5交互架构，用到了RxJava+Retrofit+MVP+泛型缩减mvp+模板模式+命令模式+观察者模式+管理者模式 +简单工厂模式）", Java
LightSun/android-drag-FlowLayout, 493, 67, "this is a draggable flow layout lib.", Java
woxingxiao/BubbleSeekBar, 493, 67, "自定义SeekBar，进度变化由可视化气泡样式呈现", Java
loopeer/code-reader, 491, 73, "One Multi program language code reader", Java
kakajika/RelativePopupWindow, 490, 70, "Android PopupWindow that can be easily located relative to anchor View.", Java
android-notes/SwissArmyKnife, 487, 69, "android免root兼容所有版本ui调试工具", Java
hejunlin2013/DragVideo, 487, 87, "A Method to Drag the Video When Playing Video", Java
anastr/SpeedView, 485, 85, "Dynamic Speedometer and Gauge for Android. amazing, powerful, and multi shape :zap:", Java
teaey/spring-boot-starter-dubbo, 484, 57, "", Java
ByoxCode/DrawView, 482, 69, "Android view that allows the user to create drawings. Customize settings like color, width or tools. Undo or redo actions.", Java
republique-et-canton-de-geneve/chvote-1-0, 481, 36, "CHVote 1.0 repository", Java
hougr/SmartisanPull, 479, 52, "“锤子下拉”，东半球最优雅的下拉控件。也叫SmartisanRefreshableLayout。", Java
lawloretienne/TinderStack, 477, 53, "A stack of cards similar to Tinder", Java
tomergoldst/tooltips, 474, 63, "Simple to use library for android, enabling to add a tooltip near any view with ease", Java
adrielcafe/AndroidAudioConverter, 473, 53, "Convert audio files inside your Android app easily. Supported formats: AAC, MP3, M4A, WMA, WAV and FLAC.", Java
githubwing/DragPhotoView, 473, 68, "A photoView to scale image and finish activity，高仿微信可拖拽返回PhotoView", Java
RiccardoMoro/RMSwitch, 473, 53, "A simple and customizable two or three states Switch View", Java
ghuiii/AnimationWithoutCode, 472, 56, "some great animations all achieved by AnimateVectorDrawable, without any code!", Java
douban/rexxar-android, 464, 63, "Mobile Hybrid Framework Rexxar Android Container", Java
JeasonWong/SignUpTransition, 462, 74, "A cool material sign up transition.", Java
JeasonWong/FlipShare, 459, 68, "It's a flip way to show share widget.", Java
wosyingjun/beauty_ssm, 458, 339, "优雅的SSM（Spring+SpringMVC+Mybatis）框架", Java
Brioal/SwipeMenuDemo, 453, 137, "多达288种动画效果定制的侧滑菜单库", Java
dynamitechetan/Flowing-Gradient, 450, 47, "Android Library to make a flowing gradient effect, similar to that used in Instagram Android login screen", Java
zuiwuyuan/WeChatPswKeyboard, 450, 82, "高仿微信数字键盘、支付键盘（密码键盘）,同样可以拿来改成支付宝的支付键盘", Java
ldoublem/RingProgress, 442, 56, "a circle progress bar with effect", Java
Wolfsblvt/BlossomsPokemonGoManager, 442, 123, "BlossomsPokemonGoManager is a tool for easy managing of your Pokémon Go game. Visit us at our Discord server to talk:", Java
Chen-Sir/ExpandableTextView, 442, 57, "Android TextView that can expand and collapse.", Java
HotBitmapGG/RingProgressBar, 441, 86, "A material design circle the progress bar.", Java
Cleveroad/BubbleAnimationLayout, 440, 55, "You don’t want your apps look and feel boring, do you? Add some bubbles!", Java
suzeyu1992/repo, 435, 103, "📒 记录一个自己的知识库", Java
uin3566/AllAngleExpandableButton, 431, 65, "An expandable button menu that you can define expand angle and button count and so on", Java
wenmingvs/LogReport, 429, 70, "崩溃日志上传框架", Java
jineshfrancs/CaptchaImageView, 426, 47, "Custom ImageView to generate captcha image.", Java
80945540/LCRapidDevelop, 425, 110, "android快速开发框架--快速实现 异常奔溃统一管理 页面 加载中 加载失败 无数据等状态以及下拉刷新和自动加载", Java
codemybrainsout/ahoy-onboarding, 424, 62, "Android onboarding library.", Java
80945540/FreeBook, 420, 130, "基于MVP模式开发的带缓存网络爬虫,采用最流行框架搭建,干货多多", Java
oubowu/PinnedSectionItemDecoration, 418, 61, "A powerful ItemDecoration for Recyclerview, supports the common layoutmanager.", Java
Luolc/EmojiRain, 418, 50, "Implement a simple and funny Android animation —— the emoji rain in WeChat app.", Java
hejunlin2013/TVSample, 418, 87, "1、仿泰捷视频最新TV版 Metro UI效果. 2、仿腾讯视频TV版(云视听·极光) 列表页", Java
MaksTuev/ferro, 414, 28, "Simple and powerful MVP library for Android", Java
kayan1990/ShareButton, 413, 61, "A share button with smooth animation", Java
klinker24/Android-3DTouch-PeekView, 407, 45, "Simple and powerful library to emulate iOS's '3D Touch' preview functionality on Android.", Java
hpdx/DanmukuLight, 404, 48, "Android上专为视频直播打造的轻量级弹幕库（100多kb）", Java
githubwing/WingUE, 404, 54, "WingUE,一些较好用户体验实现集合", Java
NikitaKozlov/Pury, 404, 19, "Android library for measuring time between multiple independent events. ", Java
zagum/Android-ExpandIcon, 401, 39, "Nice and simple customizable implementation of Google style up/down expand arrow.", Java
iielse/RetailMeNotList, 399, 48, "", Java
jackpocket/android_scratchoff, 398, 38, "A Scratchoff View system.", Java
Hitomis/ThumbnailMenu, 396, 60, "Thumbnail Style Fragment Toggles the menu", Java
PDDStudio/EncryptedPreferences, 395, 34, "AES-256 encrypted SharedPreferences for Android.", Java
weavey/LoadingLayoutDemo, 392, 80, "", Java
thoughtbot/expandable-recycler-view, 391, 31, "Custom Android RecyclerViewAdapters that collapse and expand", Java
zhengken/LyricViewDemo, 390, 54, "LyricView is a powerful and flexible custom view to display lyrics within music player under Android", Java
kHRYSTAL/CircleRecyclerView, 390, 53, "the library is a loop RecyclerView, can show some effects when display", Java
homcin/Tuikan, 388, 94, "「推看」是一款集知乎头条，美图，视频于一体的休闲阅读app。", Java
barryhappy/TContributionsView, 388, 38, "TContributionsView can be use for a Contributions View, like in one personal homepage of Github, and more than that. ", Java
instacart/truetime-android, 387, 29, "Android NTP time library. Get the true current time impervious to device clock time changes", Java
LineChen/FlickerProgressBar, 385, 73, "Android 仿应用宝下载进度条 ", Java
Schinizer/RxUnfurl, 384, 28, "A reactive extension to generate URL previews.", Java
DmitriyZaitsev/RadarChartView, 383, 53, "Android view (widget) for rendering radial diagrams", Java
janishar/PlaceHolderView, 382, 60, "A wrapper for android recyclerview and contains stacked view", Java
xiaohaibin/OpenEyes, 381, 112, "仿照[开眼视频]客户端做的一个App", Java
devsideal/SquareMenu, 381, 57, "SquareMenu is a custom Floating Action Button with a different shape from traditional FABs and with three sub menu buttons.", Java
lypeer/FcPermissions, 380, 60, "Fuck the permissions in Android M", Java
daniel-stoneuk/material-about-library, 380, 34, "Making it easy to create beautiful about screens for your apps", Java
terrakok/Cicerone, 378, 38, "🚦 Cicerone is a lightweight library that makes the navigation in an Android app easy.", Java
jaychang0917/SimpleText, 378, 39, "A simple spannable string helper", Java
githubwing/MVPHelper, 377, 54, "A plugin for Intellj IDEA & Android Studio which can help you generate interfaces and classes of MVP. 一款Intellj IDEA 和Android Studio 自动生成MVP模式所需接口以及实现类的插件。", Java
Netflix/conductor, 377, 48, "Conductor is a microservices orchestration engine - https://netflix.github.io/conductor/ ", Java
jcalaz/jcalaBlog, 376, 164, "基于springBoot+mybatis+springMVC+bootstrap的响应式个人博客网站", Java
holidaycheck/Permissify, 376, 42, "Simplifying Android Permissions", Java
Jaouan/CompoundLayout, 371, 45, "It's an Android library that allows you to use Layout as RadioButton or CheckBox.", Java
poldz123/ShapeRipple, 370, 71, "", Java
xinghongfei/Hello-RxJava, 370, 77, "Learn  Rxjava", Java
czy1121/cornerlabelview, 369, 52, "角标(corner label)", Java
hejunlin2013/SuperIndicator, 369, 89, "仿爱奇艺视频，腾讯视频，搜狐视频首页推荐位轮播图", Java
boredream/DesignResCollection, 366, 123, "一个项目搞定全部主流框架 A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.", Java
square/gifencoder, 365, 32, "A pure Java library implementing the GIF89a specification. Suitable for use on Android.", Java
wuapnjie/PuzzleView, 359, 43, "Android Jigsaw puzzle support,inspired by Instagram's layout.", Java
smuyyh/ImageSelector, 358, 89, "Android 图片选择器。充分自由定制，极大程度简化使用，支持图库多选/图片预览/单选/照片裁剪/拍照/自定义图片加载方式/自定义色调/沉浸式状态栏", Java
irfaan008/OnePageSigninSignup, 358, 68, "Signin and Signup in single Screen using PercentRelativeLayout", Java
repeats/Repeat, 357, 15, "Repeat yourself with some intelligence. This, if used correctly, can improve your productivity by 2x - 5x.", Java
angebagui/medium-textview, 356, 49, "Medium android application displays content with text, image, video etc in post detail. It can be a pain to do it with content came from CMS. So i decided to design that View to display the content quickly", Java
mingjunli/GithubApp, 356, 78, "A Github Client App with MVP architecture use Dagger2, RxJava, Retrofit, Okhttp", Java
uncleleonfan/FanChat, 356, 113, "泛聊，一个IM示例项目，使用MVP模式，集成了环信SDK和Bmob后端云。基于黑马程序员即时通讯项目。", Java
yjfnypeu/Router, 356, 46, "A simple router lib to android", Java
KingsMentor/MobileVisionBarcodeScanner, 356, 47, "Barcode Scanner powered by Mobile Vision Api", Java
MartinRGB/RapidInterpolator, 355, 41, "Realtime interpolator editor(Inspired by Facebook Rebound)", Java
JeasonWong/JikeGallery, 353, 42, "仿即刻首页滚动效果", Java
gjiazhe/ScrollParallaxImageView, 348, 48, "Provides parallax effects when ImageView scrolls in the screen.", Java
hejunlin2013/LivePlayback, 345, 75, "Android TV直播电视节目 ,包含各央视频道及卫视频道", Java
4xes/FlipAnimation, 341, 54, "Simple example for flip animation", Java
iamMehedi/Secured-Preference-Store, 341, 50, "A cryptography library and a SharedPreferences wrapper for Android that encrypts the content with 256 bit AES encryption. The Encryption key is securely stored in device's KeyStore. ", Java
forJrking/FontZip, 339, 37, "字体资源文件压缩神器（APK瘦身）", Java
andyxialm/SmileyLoadingView, 338, 54, "A custom loading view for android, just like alipay.", Java
BaymaxTong/SwitchButton, 336, 43, "DayOrNight SwitchButton", Java
maimingliang/WxRecoderVideo, 332, 51, "基于VCamera，仿微信录制短视频", Java
peng8350/JPTabBar, 331, 82, "TabBar For Android ,Android navigation bar at the bottom of a cool, accord with the design specification of the Volkswagen APP", Java
binaryroot/CarouselView, 329, 57, "", Java
freecats/TextViewExpandableAnimation, 328, 74, "Expandable TextView With Smooth Transition Animation", Java
luckyandyzhang/MentionEditText, 326, 44, "MentionEditText adds some useful features for mention string(@xxxx), such as highlight, intelligent deletion, intelligent selection and '@' input detection, etc.", Java
a1018875550/PermissionDispatcher, 322, 32, "Annotation-based library for generating runtime permissions dispatcher.And make specially judgment to 'Xiaomi' phone", Java
AlexLiuSheng/BadgeView, 322, 40, "a BadeView  base on android", Java
jaydenxiao2016/HighLightGuideView, 320, 72, "A library for app's new feature guiding,it supports the shape of round, oval and rectangular!", Java
julian-klode/dns66, 316, 23, "DNS-based Ad/Host Blocker for Android", Java
wangshaolei/UnderLineLinkTextView, 315, 48, "Support some of the key words can be clicked with the underline TextView", Java
NodensN/MediaPickerInstagram, 314, 37, "", Java
HuanHaiLiuXin/SnackbarUtils, 313, 47, "Snackbar工具类", Java
githubwing/ThreeDLayout, 311, 51, "A 3D Layout for Android,When you use it warp other view,it can became a 3D view,一秒让你的view拥有3D效果！", Java
json-iterator/java, 310, 63, "jsoniter (json-iterator) is fast and flexible JSON parser available in Java and Go", Java
baidao/tinker-manager, 309, 73, "微信tinker补丁管理，后端代码+客户端sdk", Java
czy1121/badgebutton, 309, 52, "带有徽标(数字，小红点)的按钮", Java
jrummyapps/html-builder, 309, 27, "Build valid HTML for Android TextView", Java
hussien89aa/androidTutorialForBeginners, 308, 505, "android Tutorial For Beginners assets", Java
SwiftyWang/FingerColoring-Android, 307, 42, "", Java
TellH/GitClub, 306, 47, "An elegent Android Client for Github. 不仅仅是Github客户端，而且是一个发现优秀Github开源项目的app", Java
yingLanNull/AlphaTabsIndicator, 306, 63, "高仿微信底部状态栏的轻量级库，没有MagicIndicator那么臃肿，符合大多数BottomTabBar应用设计需求，Android Navigation Bar , 高仿微信底部状态栏的轻量级库, Lightweight Library of high imitation WeChat bottom status bar", Java
dodola/AnoleFix, 305, 33, "Another hotfix  另一个热修复方案 Alpha，来自InstantRun 和 Robust 类似", Java
JakeWharton/RxWindowIfChanged, 304, 18, "An RxJava 2 operator which splits an observable into windows using a key selector.", Java
noties/ScrollingBackgroundView, 304, 48, "Endless scrolling background with drawable tiling", Java
SparkYuan/SubmitButton, 297, 56, "A cool and elegant Submit Button", Java
